Production migration history captured read-only on 2026-07-29.
Linked project: kecgtsfibkypjuaxqbjx
No credentials or table data are included.



   Local          | Remote         | Time (UTC)
  ----------------|----------------|----------------
   `001`          | `001`          | `001`
   `202605260001` | `202605260001` | `202605260001`
   `20260528`     | `20260528`     | `20260528`
   `202605300001` | `202605300001` | `202605300001`
   `202605300002` | `202605300002` | `202605300002`
   `202605300003` | `202605300003` | `202605300003`
   `202605310001` | `202605310001` | `202605310001`
   `202606010001` | `202606010001` | `202606010001`
   `202606010002` | `202606010002` | `202606010002`
   `202606010003` | `202606010003` | `202606010003`
   `202606010004` | `202606010004` | `202606010004`
   `202606020001` | `202606020001` | `202606020001`
   `202606020002` | `202606020002` | `202606020002`
   `202606020004` | `202606020004` | `202606020004`
   `202606020005` | `202606020005` | `202606020005`
   `202606020006` | `202606020006` | `202606020006`
   `202606030001` | `202606030001` | `202606030001`
   `202606030002` | `202606030002` | `202606030002`
   `202606030003` | `202606030003` | `202606030003`
   `202606030004` | `202606030004` | `202606030004`
   `202606030005` | `202606030005` | `202606030005`
   `202606030006` | `202606030006` | `202606030006`
   `202606040001` | `202606040001` | `202606040001`
   `202606040002` | `202606040002` | `202606040002`
   `202606040003` | `202606040003` | `202606040003`
   `202606050001` | `202606050001` | `202606050001`
   `202606050002` | `202606050002` | `202606050002`
   `202606050003` | `202606050003` | `202606050003`
   `202606050004` | `202606050004` | `202606050004`
   `202606060001` | `202606060001` | `202606060001`
   `202606070001` | `202606070001` | `202606070001`
   `202606070002` | `202606070002` | `202606070002`
   `202606070003` | `202606070003` | `202606070003`
   `202606070004` | `202606070004` | `202606070004`
   `202606070005` | `202606070005` | `202606070005`
   `202606080001` | `202606080001` | `202606080001`
   `202606080002` | `202606080002` | `202606080002`
   `202606080003` | `202606080003` | `202606080003`
   `202606080004` | `202606080004` | `202606080004`
   `202606080005` | `202606080005` | `202606080005`
   `202606080006` | `202606080006` | `202606080006`
   `202606080007` | `202606080007` | `202606080007`
   `202606090001` | `202606090001` | `202606090001`
   `202606090002` | `202606090002` | `202606090002`
   `202606090003` | `202606090003` | `202606090003`
   `202606100001` | ` `            | `202606100001`
   `202606180001` | ` `            | `202606180001`
   `202606190001` | ` `            | `202606190001`
   `202606190002` | ` `            | `202606190002`
   `202606190003` | ` `            | `202606190003`
   `202606270001` | ` `            | `202606270001`
   `202607010001` | ` `            | `202607010001`
   `202607020001` | ` `            | `202607020001`
   `202607160001` | ` `            | `202607160001`
   `202607160002` | ` `            | `202607160002`
   `202607160003` | ` `            | `202607160003`
   `202607170001` | ` `            | `202607170001`
   `202607170002` | ` `            | `202607170002`
   `202607190001` | ` `            | `202607190001`
   `202607190002` | ` `            | `202607190002`
   `202607200001` | ` `            | `202607200001`
   `202607200002` | ` `            | `202607200002`
   `202607200003` | ` `            | `202607200003`
   `202607210001` | ` `            | `202607210001`
   `202607210002` | ` `            | `202607210002`
   `202607230001` | ` `            | `202607230001`
   `202607230002` | ` `            | `202607230002`
   `202607240001` | ` `            | `202607240001`
   `202607240002` | ` `            | `202607240002`
   `202607240003` | ` `            | `202607240003`
   `202607240004` | ` `            | `202607240004`
